id,timestamp,sender_id,message,bot_message,uc,outcome,silent,user_intent,user_timestamp_detail,bot_timestamp_detail,wait_time
2,2020-06-19,3751272288231725,Xe 1 hay 2 chiều ạ,Bot doing sth,, ,0,query_knowledge_base,2020-06-19 05:44:42,2020-06-19 05:44:43,1.0
3,2020-06-19,2482724818405016,https://scontent.xx.fbcdn.net/v/t1.15752-9/104483792_610666886233855_3446332793212466115_n.jpg?_nc_cat=108&_nc_sid=b96e70&_nc_ohc=7zrMos1GRKkAX_tKej9&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=3b8f945d266b3a1c322eb36ec7003f05&oe=5F10F706,Bạn đang tìm kiếm thông tin gì ạ?,, ,0,send_link,2020-06-19 05:00:43,2020-06-19 05:00:43,0.0
3,2020-06-19,2482724818405016,Xe này có mái che k ạ,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-19 05:01:01,2020-06-19 05:01:06,5.0
3,2020-06-19,2482724818405016,K ạ mẫu như em gửi ạ,Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,1.2, ,0,disagree,2020-06-19 05:01:44,2020-06-19 05:01:44,0.0
3,2020-06-19,2482724818405016,https://scontent.xx.fbcdn.net/v/t1.15752-9/104432864_192151178804734_480203705101497005_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=lO__dRfUnFgAX_5WURF&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=9960592ca3abeed7a14bf4106c8e8c1b&oe=5F1023A9,Bạn đang tìm kiếm thông tin gì ạ?,, ,0,send_link,2020-06-19 05:02:38,2020-06-19 05:02:38,0.0
3,2020-06-19,2482724818405016,Có đầy đủ nệm và mái che vầy k ạ,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-19 05:02:56,2020-06-19 05:02:58,2.0
3,2020-06-19,2482724818405016,"https://scontent.xx.fbcdn.net/v/t1.15752-9/105485452_279973986530996_7967239892975379789_n.jpg?_nc_cat=108&_nc_sid=b96e70&_nc_ohc=sw4B3KCEmNoAX9cfhAJ&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=2054ae60f585c4996910f0acb5356058&oe=5F10F405
Em muốn hỏi mẫu này","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-19 05:05:39,2020-06-19 05:05:42,3.0
3,2020-06-19,2482724818405016,Có nệm mái che đầy đủ k ạ,Bot doing sth,, ,0,query_knowledge_base,2020-06-19 05:06:00,2020-06-19 05:06:00,0.0
3,2020-06-19,2482724818405016,Là xe Tomorrow ấy,bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-19 05:07:18,no_timestamp,no_wait_time
4,2020-06-19,1122100297891353,https://scontent.xx.fbcdn.net/v/t1.15752-9/104296785_185757926200026_3093367675451649479_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_oc=AQn1XT6visBnkpuPoh_bd2vfdY1EAS2XrrJbzBG3lC1597GRubD4FHxtV5IXkGb1oswOF_pdBQJZo2ckkHETJK8V&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=fc6e58dd8f00a2130034f1e53620a310&oe=5F139DC0,Bạn đang tìm kiếm thông tin gì ạ?,, ,0,send_link,2020-06-19 02:54:43,2020-06-19 02:54:44,1.0
4,2020-06-19,1122100297891353,Shop ơi tớ muốn mua mấy đồ này ở shop mình,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",1.2, ,0,query_knowledge_base,2020-06-19 02:54:58,2020-06-19 02:55:00,2.0
4,2020-06-19,1122100297891353,Mà tiền vận chuyển shopee cao quá 136k,bot handover_to_inbox,, ,0,handover_to_inbox,2020-06-19 02:55:13,no_timestamp,no_wait_time
